date,GTU_denominator,GTU_numerator,NRG_denominator,NRG_numerator
2021-08-15,1,500000.0,50000,1
2021-08-16,1,500000.0,50000,1
2021-08-17,1,500000.0,50000,1
2021-08-18,1,500000.0,50000,1
2021-08-19,1,500000.0,50000,1
2021-08-20,1,500000.0,50000,1
2021-08-21,1,500000.0,50000,1
2021-08-22,1,500000.0,50000,1
2021-08-23,1,500000.0,50000,1
2021-08-24,1,500000.0,50000,1
2021-08-25,1,500000.0,50000,1
2021-08-26,1,500000.0,50000,1
2021-08-27,1,500000.0,50000,1
2021-08-28,1,500000.0,50000,1
2021-08-29,1,500000.0,50000,1
2021-08-30,1,500000.0,50000,1
2021-08-31,1,500000.0,50000,1
2021-09-01,1,500000.0,50000,1
2021-09-02,1,500000.0,50000,1
2021-09-03,1,500000.0,50000,1
2021-09-04,1,500000.0,50000,1
2021-09-05,1,500000.0,50000,1
2021-09-06,1,500000.0,50000,1
2021-09-07,1,500000.0,50000,1
2021-09-08,1,500000.0,50000,1
2021-09-09,1,500000.0,50000,1
2021-09-10,1,500000.0,50000,1
2021-09-11,1,500000.0,50000,1
2021-09-12,1,500000.0,50000,1
2021-09-13,1,500000.0,50000,1
2021-09-14,1,500000.0,50000,1
2021-09-15,1,500000.0,50000,1
2021-09-16,1,500000.0,50000,1
2021-09-17,1,500000.0,50000,1
2021-09-18,1,500000.0,50000,1
2021-09-19,1,500000.0,50000,1
2021-09-20,1,500000.0,50000,1
2021-09-21,1,500000.0,50000,1
2021-09-22,1,2777778.0,50000,1
2021-09-23,1,2777778.0,50000,1
2021-09-24,1,2777778.0,50000,1
2021-09-25,1,2777778.0,50000,1
2021-09-26,1,2777778.0,50000,1
2021-09-27,1,2777778.0,50000,1
2021-09-28,1,2777778.0,50000,1
2021-09-29,1,2777778.0,50000,1
2021-09-30,1,2777778.0,50000,1
2021-10-01,1,2777778.0,50000,1
2021-10-02,1,2777778.0,50000,1
2021-10-03,1,2777778.0,50000,1
2021-10-04,1,2777778.0,50000,1
