date,blockHash,totalAmountReleased,blockHeight,totalAmount
2021-09-20,635c9124ea591e89f6a2ea3bdd4cc3f6bd8c2e08bc65364dbbf5756ea3860b63,,886187.0,1.0274618422473416e+16
2021-09-21,e3d10942f78008b30c2ae6344d5ead5c2e566ceab38e8e853541f00bce9bb236,,894768.0,1.0277301999392564e+16
2021-09-22,c94d1e4fa40f67c19c9e51d0541db9381be5895377c542694f4d8e1747e9140a,,903442.0,1.0279986230618712e+16
2021-09-23,b08040b042632a5369815e799e72e16ca18ceab54f0d780618b873584fb2c84d,,912024.0,1.0282670580220772e+16
2021-09-24,7c2f3b6ab83f87729bbab27be591cbed3f9211c28ad84d7d3dd51e9c2d3e9bb1,,920427.0,1.0285356353498664e+16
2021-09-25,cf60a0a862a73c4eea4ec54d22f6463d3eb8814f448ea0eb75e002348124576a,,928955.0,1.0288042206420852e+16
2021-09-26,1e7f888f43fd505c15e5836995acee4c09de8d84d3c8dad6e1800e5477a36cba,,937489.0,1.0290729048396944e+16
2021-09-27,db782ead2c99810ededad13bc4841a6cec9c16fb253573eec51864415401a739,,946054.0,1.0293416786507144e+16
2021-09-28,78dc2e1936a5c6d65432a2d2513d6c8d35040d1c724fbd169fc672c4a982b1eb,,954579.0,1.0296104837632688e+16
2021-09-29,d3458479c9ea7264cc596766d32c60534f65978e42dee600583e946ea309c2ac,,963067.0,1.0298793723007536e+16
2021-09-30,b70344b6de671e81a7121b16ae8f333c10db4ca413cd770d4a94d652798f30e3,,971587.0,1.0301483318383324e+16
2021-10-01,eb42314129e8ba1e5ae2ed92387f012b5d069fd10120fc3ff3e855d6784b8e46,,980080.0,1.0304173795230256e+16
2021-10-02,1719fe480255a70ef90c7568af903522888e35d3caac2d6ea5c59dd3c84794d7,,988701.0,1.030686470998344e+16
2021-10-03,9b5697b4e1a71274db2f51f1f97c7b75eea3d0c578b75039ee248188188020fa,,997175.0,1.0309556218409988e+16
2021-10-04,199603b76db44633f8ea9858b55412d47224352f20df9eb274e5d4316bef5823,,1005840.0,1.0312248382940714e+16
2021-10-05,f4088ae4c8607cef1dddea365c9d53be7fde716825bf2cc0c9fb5bf6e01beef3,,1014239.0,1.031494087639034e+16
2021-10-06,38fd531ccc8ed836b019e2e505cfa403707adedabec50c2fa5a0b3db867afa5f,,1022640.0,1.0317635842455564e+16
2021-10-07,cbddf673b1ca15043f38de19cdc468ee32309793fa36a3cbc5680a8c5d997681,,1031198.0,1.0320330038865318e+16
2021-10-08,6ad3ec5da17dbf4330c55cad79c58453e0eaf5fa0d1881e3f17a7bc22ad59e87,,1039846.0,1.032302564077396e+16
