date,network_activity
2021-10-08,0.0
2021-10-09,282.63638627529144
2021-10-10,0.0
2021-10-11,593.0732869133353
2021-10-12,0.0
2021-10-13,369.1796028763056
2021-10-14,322.8961402028799
2021-10-15,0.0
2021-10-16,117.15961771830916
2021-10-17,0.0
2021-10-18,0.0
2021-10-19,0.0
2021-10-20,127.68286495073698
2021-10-21,97.1826661992818
2021-10-22,0.0
2021-10-23,0.0
2021-10-24,0.0
2021-10-25,0.0
2021-10-26,79.98674650490284
2021-10-27,128.23241079226136
2021-10-28,0.0
2021-10-29,170.86758946627378
2021-10-30,0.0
2021-10-31,100.09362863376737
2021-11-01,0.0
2021-11-02,265.9339496612083
2021-11-03,0.0
2021-11-04,0.0
2021-11-05,0.0
2021-11-06,453.0158822771628
2021-11-07,0.0
2021-11-08,20.95989222824573
2021-11-09,75017.29769168328
2021-11-10,0.0
2021-11-11,86.87157406006008
2021-11-12,0.0
2021-11-13,37.6934505738318
2021-11-14,54.44959157332778
2021-11-15,99634.22135091363
2021-11-16,282.3535047424957
2021-11-17,100.25917620398104
2021-11-18,456.7266820741352
2021-11-19,9022.694727002176
2021-11-20,1264.7951295748353
2021-11-21,141.24270677473396
2021-11-22,20748.24429141404
2021-11-23,108902.78901436622
2021-11-24,107526.68690534658
2021-11-25,200337.5997799167
2021-11-26,212023.94582194928
2021-11-27,40550.164081396535
2021-11-28,32455.757807357004
2021-11-29,60286.8409146145
2021-11-30,50270.85273566353
2021-12-01,113389.78645113902
2021-12-02,113129.4500745146
2021-12-03,117116.5647980976
2021-12-04,22897.63287809654
2021-12-05,60621.29919738602
2021-12-06,53380.90553973033
2021-12-07,65078.78239195119
2021-12-08,100926.1857533364
2021-12-09,100292.0599391358
2021-12-10,109693.27155098504
2021-12-11,15449.411910863128
2021-12-12,18555.05335618835
2021-12-13,76853.2407253962
2021-12-14,104090.9024281851
2021-12-15,78115.67255748878
2021-12-16,100251.7465280022
2021-12-17,74507.24214362353
2021-12-18,8036.458294044016
2021-12-19,18025.867519552587
2021-12-20,100766.91117318092
2021-12-21,321827.7232871072
2021-12-22,107888.82945742598
2021-12-23,37856.334075514926
2021-12-24,26223.752044184366
2021-12-25,343224.0142838776
2021-12-26,24962.42348754406
2021-12-27,105351.642731691
2021-12-28,67093.89154145936
2021-12-29,107774.8786870006
2021-12-30,301405.2472629424
2021-12-31,88573.72659935849
2022-01-01,56044.93475816981
2022-01-02,31695.691029101145
2022-01-03,122002.46102339753
2022-01-04,576733944.5599222
2022-01-05,170668551.10437286
2022-01-06,41249.82220992539
2022-01-07,483118567.67092246
2022-01-08,92464843.80361237
2022-01-09,256599477.79313576
2022-01-10,75515720.822206
2022-01-11,16643297.85406402
2022-01-12,1419301793.293597
2022-01-13,49942437.92152077
2022-01-14,35472555.89864081
2022-01-15,49048.68433605135
2022-01-16,34290.825664794305
2022-01-17,27668775.16608816
2022-01-18,76334002.74531704
2022-01-19,1028255520.0908622
2022-01-20,2336943024.802541
2022-01-21,1247163224.8871844
2022-01-22,14035.39873219002
2022-01-23,29008.79843839141
2022-01-24,8471677.252511209
2022-01-25,46050757.85625457
2022-01-26,2584952.42549371
2022-01-27,652960.4738203527
2022-01-28,135764670.15422297
2022-01-29,19906167.610289413
2022-01-30,1682657.5481109803
2022-01-31,135700489.81762612
