date,open_pool_count,closed_pool_count,closed_new_pool_count,delegator_count,delegator_avg_stake,delegator_avg_count_per_pool,pool_total_delegated
2023-01-03,93,95,3,1476,276098.6433273936,15.870967741935484,407521597.551233
2023-01-04,93,96,3,1484,276968.6216138443,15.956989247311828,411021434.47494495
2023-01-05,93,96,3,1480,277888.53185389185,15.913978494623656,411275027.14376
2023-01-06,93,96,3,1483,277420.45007078693,15.946236559139784,411414527.454977
2023-01-07,93,96,3,1481,278164.8712042208,15.924731182795698,411962174.253451
2023-01-08,93,96,3,1466,281085.7171428554,15.763440860215054,412071661.331426
2023-01-09,92,96,3,1468,281209.99859347474,15.956521739130435,412816277.93522096
2023-01-10,92,96,3,1471,280753.81279049563,15.98913043478261,412988858.6148191
2023-01-11,92,96,3,1461,282709.10645409994,15.880434782608695,413038004.5294401
2023-01-12,93,96,3,1459,284032.9799628197,15.688172043010752,414404117.765754
2023-01-13,94,96,3,1460,285116.2469267117,15.53191489361702,416269720.5129991
2023-01-14,95,96,3,1466,284346.8235565798,15.43157894736842,416852443.333946
2023-01-15,95,96,3,1467,284403.89351295977,15.442105263157895,417220511.783512
2023-01-16,95,96,3,1467,286840.26672446285,15.442105263157895,420794671.284787
2023-01-17,96,96,3,1468,286753.191270872,15.291666666666666,420953684.78564
2023-01-18,96,96,3,1471,286000.77519615844,15.322916666666666,420707140.313549
2023-01-19,96,96,3,1469,286132.1836206269,15.302083333333334,420328177.738701
2023-01-20,96,96,3,1470,286222.7093326979,15.3125,420747382.719066
2023-01-21,96,95,3,1469,286423.36612508306,15.302083333333334,420755924.837747
2023-01-22,96,95,3,1467,288387.4640478963,15.28125,423064409.758264
2023-01-23,96,95,3,1467,289484.81715693185,15.28125,424674226.76921904
2023-01-24,96,96,3,1472,288934.70442332,15.333333333333334,425311884.911127
2023-01-25,97,95,2,1476,288485.1383266484,15.216494845360824,425804064.170133
2023-01-26,98,96,2,1480,288363.58588074055,15.10204081632653,426778107.103496
2023-01-27,98,96,2,1479,289914.91394970386,15.091836734693878,428784157.731612
2023-01-28,98,96,2,1477,345755.30769350234,15.071428571428571,510680589.46330297
2023-01-29,99,96,2,1493,344358.61344772606,15.08080808080808,514127409.877455
2023-01-30,101,96,2,1498,344512.546203231,14.831683168316832,516079794.21244
2023-01-31,102,96,2,1498,344954.1701434833,14.68627450980392,516741346.874938
2023-02-01,103,95,2,1502,346188.87403650867,14.58252427184466,519975688.802836
2023-02-02,103,95,2,1507,346311.5605767929,14.631067961165048,521891521.78922695
2023-02-03,104,95,2,1513,345275.49936399795,14.548076923076923,522401830.5377289
2023-02-04,104,95,2,1515,345159.1684064033,14.567307692307692,522916140.135701
2023-02-05,104,95,2,1520,344612.5909320184,14.615384615384617,523811138.216668
2023-02-06,104,95,2,1526,343752.1349350918,14.673076923076923,524565757.91095006
2023-02-07,104,95,2,1527,343554.3846101755,14.682692307692308,524607545.299738
2023-02-08,105,95,2,1532,342853.0777164145,14.59047619047619,525250915.06154704
2023-02-09,105,94,2,1535,346602.1962561303,14.61904761904762,532034371.25316
2023-02-10,105,94,2,1537,347146.38651650614,14.638095238095238,533563996.0758699
2023-02-11,104,95,2,1536,347200.50533439004,14.76923076923077,533299976.1936231
2023-02-12,104,95,2,1528,348032.8488364614,14.692307692307692,531794193.02211297
2023-02-13,105,95,2,1527,348353.954368387,14.542857142857144,531936488.32052696
2023-02-14,105,94,2,1517,351638.41758659726,14.447619047619048,533435479.478868
2023-02-15,106,94,2,1515,352711.3139459762,14.29245283018868,534357640.628154
2023-02-16,106,94,2,1516,356944.45650965563,14.30188679245283,541127796.068638
2023-02-17,106,94,2,1519,356797.2392208802,14.330188679245284,541975006.376517
2023-02-18,106,94,2,1521,356427.0222341169,14.349056603773583,542125500.8180919
2023-02-19,105,93,2,1523,356097.2280013979,14.504761904761905,542336078.246129
2023-02-20,105,92,2,1525,356099.6189097436,14.523809523809524,543051918.837359
2023-02-21,105,92,2,1525,356219.6822256124,14.523809523809524,543235015.394059
2023-02-22,105,92,2,1523,356901.1875446639,14.504761904761905,543560508.6305231
2023-02-23,105,92,2,1528,358090.7906233475,14.552380952380952,547162728.072475
2023-02-24,104,92,2,1533,357319.50700982125,14.740384615384617,547770804.246056
2023-02-25,105,92,1,1536,356859.07911601174,14.628571428571428,548135545.522194
2023-02-26,105,92,1,1537,356203.8130922915,14.638095238095238,547485260.722852
2023-02-27,103,92,1,1535,356695.59162664175,14.902912621359222,547527733.146895
