date,account,baker_id
2022-01-26,3JkgeM6RX19BDzPRnmnN8XFE5Cnac6MhZmUvTBxgqyDn9kEEkB,1165
2022-01-27,39H9tWq2sR2v9Pu1qs7XhER587RaSm57mCEuje7xVW1Wfy4RkL,285
2022-01-27,3FTTqz8mRcYSuUF8hMf8QxSBRM1UTAbaJw6QUWTiJ13fbyGx4t,1778
2022-01-28,3hzSaiFSz3VWQsr2PYMvA8NYygM4stDmpVzJZbyHwij5cg4v23,77218
2022-01-28,3C95KPAg8dzgyACEhU5B2b8pLpmNG67JoVgv4BNgnELqRjcU28,75314
2022-01-28,4proHRu8KhJELYHczfTFdsyUYSdzFc3VwBHZNLdWaGJzq9HENg,766
2022-01-28,3d4tsSiBrJXn2aiNHdfqMq2b9oGttoKn2LDCZbHHMm1WZi2c95,76933
2022-01-28,4qL7HmpqdKpYufCV7EvL1WnHVowy1CrTQS7jfYgef5stzpftwS,76670
2022-01-28,4GYp53AvAFfnFndzmveVNxU4agRZFQqFu6QFgUVkTgwRXZUpi5,37717
2022-01-29,35Zf2bdpe5JtYxNJWsnMniiVJhtUM6fQJ1KcxiD3nBLueEWS6V,77299
2022-01-29,3mNckP9Yq59hBg6WoVRv8vmW33GYsQMvngiBkT41MJeHVmzVBX,77052
2022-01-29,2yK2BG4J54PAUb7kAyr8Ts4mieA3wKosYTYYUnhY671BRBAn8R,77511
2022-01-29,4eARZcdGRfUJLykk6GKHJaaqerUELqXUHCvpdcc4yHvSCBno3x,1304
2022-01-30,4sY2m6R4hu5V5mGLF4DUv51YoNfLM9LGXDwePu9ypvfqbeUzMx,1426
2022-01-30,45C5RzWrBGyywwvCFAmkVtHLQmC8jwEaaB9qP9kqL8EcfT1pdj,693
2022-01-31,4i5gbVWRZC82V76k28ExQFgcYBcaqBhLDU2hRZGrMh8FEZEjjs,78251
2022-01-31,4a9DonfVekc78qEfesGawzrWFTZhpJMGryGHdko1gMxDACYDvX,1570
2022-01-31,4BJ1SHnDyujy6SwJYpMQU3Ry16BcEWPqEHrasjSAPVw9h9d7j2,763
2022-02-01,4ipbYF9ncfmJXVfciPtmAK4SxhDamr3ix4XBkHFJKkuaCwaiSz,78606
2022-02-01,47uKy77Ds7AEsTd7AAnyeesWL5wAyraVvafPEfhFw9dveuGym6,76937
2022-02-01,4XezNGp3vSdEUtbrboSiC8a5hb4ipE8VNUsJA71x8i64LGo6rP,34868
