date,amount_to_make_top_100,amount_to_make_top_250
2022-12-21,4001102.102522,915782.015946
2022-12-22,4125111.008435,930933.922269
2022-12-23,4126622.973901,930933.922269
2022-12-24,4128459.015447,927659.319242
2022-12-25,4129357.811343,927910.87957
2022-12-26,4130258.630199,928162.453441
2022-12-27,4131160.437497,928414.035174
2022-12-28,4132678.517947,928463.489774
2022-12-29,4133288.496451,932510.355946
2022-12-30,4134806.534438,929171.434686
2022-12-31,4170959.674325,929220.816006
2023-01-01,4171958.681034,929472.359995
2023-01-02,4173056.176582,932510.355946
2023-01-03,4174262.04973,932510.355946
2023-01-04,4175353.793542,932510.355946
2023-01-05,4176580.433479,932510.355946
2023-01-06,4177716.556892,955033.801138
2023-01-07,4178905.801028,966258.058331
2023-01-08,4180076.12439,967156.56556
2023-01-09,4181269.673184,977317.273529
2023-01-10,4182367.978024,977441.952909
2023-01-11,4152002.984235,977686.23014
2023-01-12,4184804.383633,977931.236834
2023-01-13,4185944.157979,983149.422625
2023-01-14,4187060.168686,983411.536385
2023-01-15,4188225.340739,983685.196508
2023-01-16,4189327.674037,1002309.706844
2023-01-17,4190453.363909,984208.484973
2023-01-18,4191631.729347,984485.243783
2023-01-19,4192826.698339,984765.902216
2023-01-20,4194079.283755,1003162.796823
2023-01-21,4195250.766381,1003480.803682
2023-01-22,4196402.530683,1004870.918261
2023-01-23,4215180.71178,1003925.910095
2023-01-24,4216307.926853,1004123.886742
2023-01-25,4217336.212101,968171.222269
2023-01-26,4218448.464205,968171.222269
2023-01-27,4219787.029348,1005172.880903
2023-01-28,4625161.413705,1006631.164483
2023-01-29,4432861.338956,1006917.362122
2023-01-30,4433707.983985,1012647.777945
2023-01-31,4434563.764308,1011538.973611
2023-02-01,4435554.429133,1012647.777945
2023-02-02,4209055.019085,1012434.7103
2023-02-03,4315484.05864,1012733.660559
2023-02-04,4316286.151093,1012932.868625
2023-02-05,4316994.759431,1013219.289161
2023-02-06,4317998.134545,1009077.302704
2023-02-07,4214646.249967,1009348.009014
2023-02-08,4319251.082707,1009620.904756
2023-02-09,4216856.58188,1009896.178021
2023-02-10,4217953.816891,1008856.894227
2023-02-11,4422650.4224,1009178.049684
2023-02-12,4567229.009127,1002462.15625
2023-02-13,4568062.876391,990506.221454
2023-02-14,4534414.202942,990506.221454
2023-02-15,4335150.650647,990506.221454
2023-02-16,4545574.605044,990310.448724
2023-02-17,4546382.355747,965966.89491
2023-02-18,4547148.41957,966220.161652
2023-02-19,4547777.043859,990506.221454
2023-02-20,4576737.829291,991548.966488
2023-02-21,4577882.59347,990506.221454
2023-02-22,4579230.008435,990506.221454
2023-02-23,4636517.056166,994270.266211
2023-02-24,4637732.893853,994546.271682
2023-02-25,4638893.219486,994801.279375
2023-02-26,4584248.139776,995059.459528
2023-02-27,4585544.058374,995327.785582
2023-02-28,4586735.852587,1006896.815402
2023-03-01,4588047.787954,1007069.000001
2023-03-02,4589211.536947,1007069.000001
2023-03-03,4646589.360176,1007719.18276
2023-03-04,4678393.887247,1007975.011709
2023-03-05,4678393.887247,1007069.000001
2023-03-06,4706613.058637,979370.3498
2023-03-07,4708149.092424,979370.3498
2023-03-08,4735545.51349,979370.3498
2023-03-09,4882104.307852,999999.094345
2023-03-10,4883594.055078,1000009.000195
2023-03-11,4884523.715929,1004129.681934
2023-03-12,4885591.167426,999999.094345
2023-03-13,4886396.831953,999999.094345
2023-03-14,4887874.517545,1000252.046969
2023-03-15,4888951.696736,1000611.732426
2023-03-16,4889355.194242,1006805.245985
2023-03-17,4719672.116847,1005728.206304
2023-03-18,4876284.756332,1006004.151483
2023-03-19,4894820.024021,1007069.000001
2023-03-20,4896307.319606,1007069.000001
2023-03-21,4897667.1116,1008116.523722
2023-03-22,4899419.93942,1008378.992682
2023-03-23,4723011.574756,1007371.646343
2023-03-24,4723011.574756,1007648.305051
2023-03-25,4723011.574756,1007938.885131
2023-03-26,4723011.574756,1008231.571347
2023-03-27,4720782.867672,1008530.922748
2023-03-28,4722226.950367,1010046.277649
2023-03-29,4723418.223841,1010331.819959
2023-03-30,4727009.564196,1021713.912104
2023-03-31,4728879.156696,1023390.506337
2023-04-01,4729784.356415,1023668.508516
2023-04-02,4731283.332873,1024179.131255
2023-04-03,4733064.426659,1024548.868407
2023-04-04,4925687.017441,1029535.533113
2023-04-05,4919219.820298,1025208.591411
2023-04-06,4925687.017441,1030140.206617
2023-04-07,4925687.017441,1030140.206617
2023-04-08,4925687.017441,1030672.706774
2023-04-09,4925687.017441,1030672.706774
2023-04-10,4926599.433792,1031051.179169
2023-04-11,4950152.854675,1030672.706774
2023-04-12,4952311.320823,1031965.574916
2023-04-13,4955051.473277,1033529.15117
2023-04-14,4957499.02371,1032886.327503
2023-04-15,4958710.995717,1028112.32223
2023-04-16,4958463.277213,1028395.216199
2023-04-17,4966576.79133,1028685.101949
2023-04-18,4968079.78496,1034416.325367
2023-04-19,4970225.958322,1035277.460665
2023-04-20,4972176.914497,1036577.89642
2023-04-21,4974508.006458,1036866.722314
2023-04-22,4975675.05695,1037456.242167
2023-04-23,4976825.828271,1037455.602694
2023-04-24,4978805.755697,1037456.242167
2023-04-25,4979198.128567,1037456.242167
2023-04-26,4980641.007877,1037456.242167
2023-04-27,4982157.957326,1037620.279663
2023-04-28,4983613.501961,1037920.18164
2023-04-29,4984970.992378,1038199.880421
2023-04-30,4986381.637422,1038490.531238
2023-05-01,4987778.476462,1038778.337452
2023-05-02,4989147.022749,1039060.314196
2023-05-03,4990555.116169,1040305.438907
2023-05-04,4987480.147928,1038708.233599
2023-05-05,4989265.13771,1038708.233599
2023-05-06,4990354.485341,1040225.312585
2023-05-07,4991574.963099,1040517.523874
2023-05-08,4994197.053158,1040887.372429
2023-05-09,4996940.141738,1041192.891193
2023-05-10,4998890.639372,1041504.823168
2023-05-11,4968117.902392,1041753.254548
2023-05-12,4969210.23384,1042048.406957
2023-05-13,4970312.667567,1042342.554837
2023-05-14,4971421.448476,1042623.156045
2023-05-15,4972522.104604,1042921.457058
2023-05-16,5008462.80661,1046980.463677
2023-05-17,5010942.358029,1049185.096894
2023-05-18,5012349.873219,1047592.246351
2023-05-19,5013753.201866,1049719.252051
2023-05-20,5015301.447056,1049976.468953
2023-05-21,5020954.129964,1049976.468953
2023-05-22,5134913.09477,1050510.226408
2023-05-23,5026331.563285,1050510.226408
2023-05-24,5137800.082411,1050778.920171
2023-05-25,5139240.64054,1051320.600443
2023-05-26,5197577.423468,1057190.642394
2023-05-27,5199021.744002,1057484.337939
